Date,kodex200,kodex200x2,kbond3y,kbond10y,kbond20y,us500_UH,usbond10y_UH
2009-09-29,18395.0,11010.064311699509,77269.0,68757.89958435221,52587.83452517192,2546.4954327090845,8427.493212150406
2009-09-30,18274.0,10863.558423056716,77432.0,69032.69265186848,53004.58300380123,2511.034384350034,8354.09939193943
2009-10-01,17941.0,10465.99546115271,77496.0,69096.59883622067,53099.10194019188,2444.1483970164736,8397.766372087232
2009-10-05,17477.0,9923.062604802368,77584.0,69332.68190865133,53458.32623047596,2451.619650953439,8337.866124259433
2009-10-06,17383.0,9814.823936057554,77385.0,68971.42239461053,52897.58584121644,2487.377606716505,8314.631509246708
2009-10-07,17378.0,9807.697703091137,77358.0,68982.3529928302,52910.74180092184,2497.8500597738066,8375.174381635423
2009-10-08,17502.0,9946.18360689908,77358.0,68993.28532333222,52923.901032596514,2509.431988134283,8323.316404394775
2009-10-09,17895.0,10391.35846931326,77584.0,69482.32497528862,53670.56137677472,2525.38117442174,8250.830592774713
2009-10-12,17805.0,10285.268214466696,77496.0,69281.21867337836,53356.21516137332,2542.017629024995,8293.454660331208
2009-10-13,17678.0,10136.99116604245,77544.0,68867.7425484737,52715.70465190049,2534.8691724439664,8304.9360322131
2009-10-14,17941.0,10437.083646541838,77566.0,68878.71331912455,52728.90203257193,2559.72714612413,8196.202026196997
2009-10-15,18042.0,10553.022252331462,77480.0,68626.61774987975,52339.32831134352,2567.985600639517,8167.8392102334465
2009-10-16,17849.0,10325.654036903596,77226.0,68167.83561748652,51635.95900161264,2568.821754241633,8262.578115793387
2009-10-19,17966.0,10459.46609264318,77208.0,68076.97007387801,51494.77648035604,2592.2059377723986,8280.265915617805
2009-10-20,18070.0,10578.98254557606,77254.0,68191.6790007217,51664.79799280199,2571.1167551684257,8275.58136029022
2009-10-21,18025.0,10524.69729503179,77314.0,68202.80363020723,51678.1286116083,2575.784074841517,8341.489521976184
2009-10-22,17708.0,10152.921162049628,77250.0,68110.26979261359,51534.37325149647,2628.7035531225224,8398.053761527142
2009-10-23,17833.0,10294.728221711366,77140.0,67914.76529267759,51235.00611340818,2597.883235582909,8357.273409732732
2009-10-26,18088.0,10587.591329810402,77063.0,67619.3396754636,50785.770017249815,2551.9326275970884,8258.921489472477
2009-10-27,18002.0,10485.316675217362,77254.0,67989.79714996231,51338.77076249928,2560.887702392521,8387.80838881633
2009-10-28,17534.0,9938.559664023993,77361.0,68363.3362059322,51899.381798146416,2502.283815334454,8379.666736822912
2009-10-29,17254.0,9619.643779379296,77476.0,68739.99097466485,52467.72932707056,2556.0750076715867,8342.47569431343
2009-10-30,17220.0,9580.28107478292,77450.0,68698.55246909769,52400.88998920228,2483.900817666417,8406.042848653457
2009-11-02,16986.0,9318.46642091982,77555.0,69026.84666126406,52898.13642856106,2501.918328101985,8384.389276614345
2009-11-03,16868.0,9187.592394207644,77555.0,68985.01717360102,52830.41457714461,2520.621100948426,8399.678586550734
2009-11-04,17194.0,9541.335623854153,77460.0,68785.24625171504,52520.82976885781,2488.5263286778672,8259.035909243601
2009-11-05,16919.0,9234.68953491638,77524.0,68638.89250936736,52293.74883092957,2539.48572020248,8276.299945971574
2009-11-06,17142.0,9476.731693104071,77496.0,68493.12672465127,52068.071115686194,2529.4666314635087,8248.555010102318
2009-11-09,17206.0,9546.065796933062,77524.0,68558.07341496114,52163.26144533755,2558.285787767728,8166.096302786446
2009-11-10,17261.0,9605.655442383226,77547.0,68464.78757806138,52017.745721070656,2565.6193573583896,8192.205557467403
2009-11-11,17461.0,9826.804860395428,77655.0,68528.07014143835,52110.3561595242,2576.058592442952,8205.933257580766
2009-11-12,17287.0,9629.473542223186,77901.0,69010.96738396806,52841.21226065279,2558.6804792213743,8234.693107843059
2009-11-13,17186.0,9515.500297776707,78044.0,69233.54973297058,53178.465115930994,2563.2202613987884,8212.70651001875
2009-11-16,17445.0,9800.870329059577,77909.0,68981.51226229536,52787.65423395047,2586.2365359939668,8211.455002083507
2009-11-17,17383.0,9729.727305636236,78094.0,69045.32404632327,52881.7143736326,2599.612488508776,8258.552172350115
2009-11-18,17577.0,9945.434041268576,78057.0,69056.36093912013,52895.011267414266,2595.5038333491675,8231.90783738042
2009-11-19,17787.0,10181.579112919391,78110.0,69332.13628172441,53313.87153634161,2580.5498106769064,8297.40096186328
2009-11-20,17779.0,10170.885125292622,78181.0,69449.54135499305,53490.79304912363,2563.421740729342,8272.525021903735
2009-11-23,17769.0,10157.909961227137,78074.0,69196.28722036991,53097.02390544278,2581.087259888578,8217.119545279944
2009-11-24,17608.0,9972.302181186267,78089.0,69207.31032885138,53110.31674941839,2591.10316776361,8274.144395250656
2009-11-25,17671.0,10042.158602775478,78202.0,69430.68702208588,53449.534354518015,2598.0699237189674,8293.529217211984
2009-11-26,17530.0,9880.388028898928,78271.0,69441.67138250559,53462.798299846974,2610.1147019615114,8329.143123609316
2009-11-27,16713.0,8957.930984837223,78644.0,69987.84096001004,54300.13574809655,2602.3597962315657,8469.210330227028
2009-11-30,17043.0,9310.330825940206,78602.0,70000.38836424143,54315.89938036312,2585.3693571749754,8403.605464324492
2009-12-01,17220.0,9502.311685168905,78686.0,69795.88032067832,53994.82134215053,2600.7039992485243,8310.923320626518
2009-12-02,17464.0,9770.166143145285,78551.0,69753.14255132472,53925.01121264022,2592.788355818768,8274.860661107587
2009-12-03,17753.0,10092.052691811396,78534.0,69817.73986857128,54021.208870989685,2566.9344044995164,8222.200139495815
2009-12-04,17841.0,10190.581641748,78497.0,69936.18599318233,54200.81617982101,2583.82890795798,8171.95810811612
