날짜,KOSPI
2000-07-03,5.0825773938085
2000-08-01,4.95766738660907
2000-09-01,4.41483081353492
2000-10-02,3.70395968322534
2000-11-01,3.66616270698344
2000-12-01,3.63297336213103
2001-01-02,4.44859611231102
2001-02-01,4.16198704103672
2001-03-02,3.76688264938805
2001-04-02,4.15665946724262
2001-05-02,4.40719942404608
2001-06-01,4.2845932325414
2001-07-02,3.89884809215263
2001-08-01,3.92447804175666
2001-09-03,3.45341972642189
2001-10-04,3.8719222462203
2001-11-01,4.63563714902808
2001-12-03,4.99424046076314
2002-01-02,5.38567314614831
2002-02-01,5.90345572354212
2002-03-04,6.44766018718503
2002-04-01,6.06436285097192
2002-05-02,5.73362131029518
2002-06-03,5.3471562275018
2002-07-02,5.16911447084233
2002-08-01,5.3016558675306
